Sample Index,Warnings,Timeline,Prediction
10008,Hardness: 154.1239972 < 300; Conductivity: 598.1422316 < 800; Trihalomethanes: 56.10510725 < 80; Turbidity: 3.309481449 < 5,2019-Jul,Recyclable
10029,ph: 5.741959774 < 6.5; Hardness: 139.0829464 < 300; Chloramines: 3.467829811 < 4; Conductivity: 601.2552572 < 800; Trihalomethanes: 68.44360607 < 80; Turbidity: 3.946483597 < 5,2019-Jul,Recyclable
10003,ph: 5.613821922 < 6.5; Hardness: 107.3257558 < 300; Conductivity: 458.3620031 < 800; Trihalomethanes: 77.64894864 < 80; Turbidity: 4.153630554 < 5,2019-Jul,Recyclable
10365,ph: 6.016652241 < 6.5; Hardness: 234.6402921 < 300; Conductivity: 438.1368813 < 800; Trihalomethanes: 66.17982305 < 80; Turbidity: 2.674528467 < 5,2019-Jul,Recyclable
10387,Hardness: 239.0576795 < 300; Conductivity: 373.2321373 < 800; Trihalomethanes: 43.44064402 < 80; Turbidity: 3.819985377 < 5,2019-Aug,Recyclable
10280,Hardness: 211.7606478 < 300; Conductivity: 495.8387855 < 800; Turbidity: 4.561914883 < 5,2019-Aug,Recyclable
10122,Hardness: 258.4472652 < 300; Conductivity: 425.7970193 < 800; Trihalomethanes: 67.40067335 < 80; Turbidity: 3.69194651 < 5,2019-Aug,Recyclable
10210,Hardness: 219.6226589 < 300; Conductivity: 350.8269163 < 800; Turbidity: 2.938536287 < 5,2019-Aug,Recyclable
10493,Hardness: 191.1816831 < 300; Conductivity: 509.7354258 < 800; Turbidity: 4.452093669 < 5,2019-Aug,Recyclable
10347,Hardness: 189.9717371 < 300; Conductivity: 484.9876486 < 800; Turbidity: 3.039645075 < 5,2019-Aug,Recyclable
10384,Hardness: 148.6140018 < 300; Conductivity: 387.3997714 < 800; Trihalomethanes: 49.4804408 < 80; Turbidity: 3.911014707 < 5,2019-Aug,Recyclable
10320,ph: 6.193192549 < 6.5; Hardness: 159.4246351 < 300; Conductivity: 509.9794939 < 800; Turbidity: 2.458897831 < 5,2019-Sep,Recyclable
10424,Hardness: 186.5827058 < 300; Conductivity: 355.9372383 < 800; Trihalomethanes: 73.88561213 < 80; Turbidity: 2.574191772 < 5,2019-Sep,Recyclable
10408,Hardness: 225.0885545 < 300; Conductivity: 503.9087331 < 800; Trihalomethanes: 78.3543407 < 80; Turbidity: 3.959636524 < 5,2019-Sep,Recyclable
10161,Hardness: 172.9789708 < 300; Sulfate: 244.0355218 < 250; Conductivity: 560.0313603 < 800; Trihalomethanes: 51.05831115 < 80; Turbidity: 2.710181806 < 5,2019-Oct,Recyclable
10263,Hardness: 242.4134292 < 300; Sulfate: 211.8515923 < 250; Conductivity: 351.9973602 < 800; Trihalomethanes: 69.90949068 < 80; Turbidity: 4.626701023 < 5,2019-Oct,Recyclable
10232,ph: 5.5448766 < 6.5; Hardness: 184.7077025 < 300; Conductivity: 380.0963635 < 800; Turbidity: 3.381731345 < 5,2019-Oct,Recyclable
10110,Hardness: 196.9000984 < 300; Conductivity: 347.5883747 < 800; Trihalomethanes: 68.37981452 < 80; Turbidity: 3.827255961 < 5,2019-Nov,Recyclable
10164,ph: 6.004973154 < 6.5; Hardness: 146.10538 < 300; Conductivity: 440.8773439 < 800; Trihalomethanes: 70.78156393 < 80; Turbidity: 3.647712231 < 5,2019-Nov,Recyclable
10458,Hardness: 213.9513281 < 300; Conductivity: 338.2142583 < 800; Trihalomethanes: 58.58745936 < 80; Turbidity: 4.163325537 < 5,2019-Nov,Recyclable
10290,Hardness: 156.872561 < 300; Conductivity: 295.109968 < 800; Trihalomethanes: 72.21016543 < 80; Turbidity: 3.740017428 < 5,2019-Nov,Recyclable
10097,ph: 5.833301837 < 6.5; Hardness: 221.3228053 < 300; Conductivity: 382.758962 < 800; Turbidity: 4.329553519 < 5,2019-Nov,Recyclable
10368,ph: 4.510886312 < 6.5; Hardness: 153.2711255 < 300; Conductivity: 417.9396973 < 800; Trihalomethanes: 68.60270004 < 80; Turbidity: 3.997553017 < 5,2019-Nov,Recyclable
10191,ph: 4.111849868 < 6.5; Hardness: 144.0634732 < 300; Conductivity: 564.2420293 < 800; Turbidity: 3.840352226 < 5,2019-Nov,Recyclable
10418,Hardness: 167.68094 < 300; Conductivity: 491.2868871 < 800; Trihalomethanes: 45.41942315 < 80; Turbidity: 4.362336003 < 5,2019-Dec,Recyclable
10264,ph: 6.244928142 < 6.5; Hardness: 191.268152 < 300; Conductivity: 424.4262953 < 800; Turbidity: 4.103824218 < 5,2019-Dec,Recyclable
10359,ph: 5.660538004 < 6.5; Hardness: 160.5749745 < 300; Conductivity: 384.2557456 < 800; Trihalomethanes: 70.59480293 < 80; Turbidity: 4.113166963 < 5,2019-Dec,Recyclable
7338,Hardness: 210.2240195 < 300; Conductivity: 338.8847617 < 800; Trihalomethanes: 51.06384388 < 80; Turbidity: 3.326830277 < 5,2020-Jan,Recyclable
709,Hardness: 195.8746342 < 300; Conductivity: 512.4544684 < 800; Trihalomethanes: 54.13265784 < 80; Turbidity: 2.775635434 < 5,2020-Jan,Recyclable
6564,ph: 3.249794492 < 6.5; Conductivity: 520.698063 < 800; Trihalomethanes: 41.71017408 < 80; Turbidity: 3.3762724 < 5,2020-Jan,Recyclable
768,Hardness: 200.1398287 < 300; Conductivity: 340.8088228 < 800; Trihalomethanes: 72.73063948 < 80; Turbidity: 3.823092676 < 5,2020-Jan,Recyclable
7116,Hardness: 224.9963254 < 300; Conductivity: 341.4118311 < 800; Trihalomethanes: 55.63325149 < 80; Turbidity: 3.432068399 < 5,2020-Jan,Recyclable
4863,ph: 5.881807094 < 6.5; Hardness: 272.4698316 < 300; Conductivity: 348.0789842 < 800; Trihalomethanes: 66.63254694 < 80,2020-Jan,Recyclable
1329,Hardness: 189.814682 < 300; Conductivity: 547.0267663 < 800; Trihalomethanes: 70.93748133 < 80; Turbidity: 4.893750992 < 5,2020-Jan,Recyclable
2745,Hardness: 158.2920574 < 300; Conductivity: 531.6574429 < 800; Trihalomethanes: 59.99855416 < 80; Turbidity: 3.540384278 < 5,2020-Jan,Recyclable
1989,Hardness: 278.3403578 < 300; Conductivity: 384.783185 < 800; Trihalomethanes: 64.2107668 < 80; Turbidity: 4.16249551 < 5,2020-Jan,Recyclable
387,Hardness: 143.3002003 < 300; Conductivity: 503.6640851 < 800; Trihalomethanes: 66.17982305 < 80; Turbidity: 3.451740047 < 5,2020-Jan,Recyclable
2721,ph: 6.195086858 < 6.5; Hardness: 195.4431596 < 300; Conductivity: 425.5028737 < 800; Turbidity: 4.196558262 < 5,2020-Jan,Recyclable
6739,Hardness: 198.3401414 < 300; Conductivity: 470.2456851 < 800; Trihalomethanes: 61.08467287 < 80; Turbidity: 3.930237268 < 5,2020-Jan,Recyclable
8365,ph: 5.758947264 < 6.5; Hardness: 170.5420591 < 300; Conductivity: 378.9771751 < 800; Trihalomethanes: 63.63606676 < 80,2020-Jan,Recyclable
7149,Hardness: 217.9811746 < 300; Conductivity: 517.9470571 < 800; Trihalomethanes: 57.09978294 < 80; Turbidity: 4.748170335 < 5,2020-Jan,Recyclable
5478,ph: 5.894345608 < 6.5; Hardness: 180.9035039 < 300; Conductivity: 419.663423 < 800; Trihalomethanes: 68.97196614 < 80; Turbidity: 2.608149323 < 5,2020-Jan,Recyclable
6753,Hardness: 106.5630393 < 300; Conductivity: 380.9051069 < 800; Trihalomethanes: 48.89656826 < 80; Turbidity: 4.591236578 < 5,2020-Jan,Recyclable
5501,ph: 4.782798589 < 6.5; Hardness: 111.5886262 < 300; Conductivity: 315.4596696 < 800; Turbidity: 4.886291183 < 5,2020-Jan,Recyclable
7794,ph: 6.296006123 < 6.5; Hardness: 193.6636511 < 300; Conductivity: 412.4462806 < 800; Trihalomethanes: 57.61804234 < 80; Turbidity: 4.636861848 < 5,2020-Jan,Recyclable
9230,Hardness: 205.4036371 < 300; Conductivity: 555.8039674 < 800; Trihalomethanes: 72.42621544 < 80; Turbidity: 2.779077143 < 5,2020-Jan,Recyclable
5553,Hardness: 281.5825808 < 300; Conductivity: 421.8654555 < 800; Trihalomethanes: 63.87315368 < 80; Turbidity: 2.628333777 < 5,2020-Jan,Recyclable
305,ph: 6.428866313 < 6.5; Hardness: 225.6130938 < 300; Conductivity: 466.0443992 < 800; Turbidity: 4.184783372 < 5,2020-Jan,Recyclable
7500,Hardness: 199.4960775 < 300; Conductivity: 357.5792323 < 800; Trihalomethanes: 75.58783019 < 80; Turbidity: 4.296684803 < 5,2020-Jan,Recyclable
9088,Hardness: 203.2595884 < 300; Conductivity: 346.0493284 < 800; Trihalomethanes: 63.40421663 < 80; Turbidity: 4.391058696 < 5,2020-Jan,Recyclable
3758,ph: 6.054044272 < 6.5; Hardness: 206.4812394 < 300; Chloramines: 3.993643531 < 4; Conductivity: 409.323682 < 800; Trihalomethanes: 61.93892778 < 80; Turbidity: 3.725658535 < 5,2020-Jan,Recyclable
9710,Hardness: 209.933863 < 300; Conductivity: 493.6610273 < 800; Trihalomethanes: 61.17368025 < 80; Turbidity: 3.180591087 < 5,2020-Jan,Recyclable
1583,Hardness: 225.0631028 < 300; Conductivity: 433.9740225 < 800; Trihalomethanes: 74.76510056 < 80; Turbidity: 3.700916676 < 5,2020-Jan,Recyclable
4962,Hardness: 193.61415 < 300; Conductivity: 384.8072376 < 800; Trihalomethanes: 75.59141546 < 80; Turbidity: 3.418439455 < 5,2020-Jan,Recyclable
2774,Hardness: 216.6124749 < 300; Conductivity: 384.6949552 < 800; Trihalomethanes: 53.31304555 < 80; Turbidity: 3.62698996 < 5,2020-Jan,Recyclable
3180,Hardness: 119.0282155 < 300; Conductivity: 579.2476736 < 800; Trihalomethanes: 72.80373391 < 80; Turbidity: 4.096619667 < 5,2020-Jan,Recyclable
3309,Hardness: 196.8800952 < 300; Conductivity: 529.6457089 < 800; Turbidity: 2.973317494 < 5,2020-Jan,Recyclable
7287,Hardness: 202.9628344 < 300; Conductivity: 567.3641887 < 800; Trihalomethanes: 56.060704 < 80; Turbidity: 3.631078296 < 5,2020-Jan,Recyclable
4317,Hardness: 160.6608128 < 300; Conductivity: 503.2679251 < 800; Trihalomethanes: 61.66395847 < 80; Turbidity: 3.895670227 < 5,2020-Jan,Recyclable
1995,Hardness: 209.8660948 < 300; Conductivity: 338.9571983 < 800; Trihalomethanes: 51.15966921 < 80; Turbidity: 3.619545637 < 5,2020-Jan,Recyclable
9306,Hardness: 220.5325368 < 300; Sulfate: 233.8596442 < 250; Conductivity: 367.3378293 < 800; Trihalomethanes: 62.87873996 < 80; Turbidity: 4.320339851 < 5,2020-Jan,Recyclable
6706,Hardness: 212.2563297 < 300; Conductivity: 457.3555029 < 800; Trihalomethanes: 43.16668268 < 80; Turbidity: 3.974065814 < 5,2020-Jan,Recyclable
8529,Hardness: 200.3181151 < 300; Conductivity: 293.7597785 < 800; Trihalomethanes: 54.38910575 < 80; Turbidity: 4.820585645 < 5,2020-Jan,Recyclable
8553,ph: 6.112995857 < 6.5; Hardness: 226.5302768 < 300; Conductivity: 350.9477289 < 800; Trihalomethanes: 35.51760831 < 80,2020-Jan,Recyclable
4982,ph: 5.677523202 < 6.5; Hardness: 200.7007327 < 300; Conductivity: 437.4815834 < 800; Trihalomethanes: 66.68021729 < 80; Turbidity: 3.485736081 < 5,2020-Jan,Recyclable
4507,Hardness: 188.471419 < 300; Conductivity: 388.2692508 < 800; Trihalomethanes: 78.60861745 < 80; Turbidity: 2.259536589 < 5,2020-Jan,Recyclable
9778,Hardness: 190.7249002 < 300; Conductivity: 349.6151958 < 800; Trihalomethanes: 68.75376884 < 80; Turbidity: 4.533875888 < 5,2020-Jan,Recyclable
1120,Hardness: 203.0687456 < 300; Conductivity: 405.4206121 < 800; Trihalomethanes: 74.41286716 < 80; Turbidity: 2.571391506 < 5,2020-Jan,Recyclable
314,Hardness: 174.480427 < 300; Conductivity: 435.1080173 < 800; Turbidity: 4.466912564 < 5,2020-Jan,Recyclable
8383,ph: 3.972912456 < 6.5; Hardness: 218.7749531 < 300; Conductivity: 410.5066443 < 800; Trihalomethanes: 59.93622615 < 80,2020-Jan,Recyclable
3361,Hardness: 222.7080657 < 300; Conductivity: 514.9025646 < 800; Trihalomethanes: 56.88441962 < 80; Turbidity: 3.936598603 < 5,2020-Jan,Recyclable
9422,ph: 6.034103169 < 6.5; Hardness: 230.3258702 < 300; Conductivity: 554.3746381 < 800; Trihalomethanes: 54.20893661 < 80; Turbidity: 3.702808617 < 5,2020-Jan,Recyclable
7926,Hardness: 143.2077489 < 300; Conductivity: 503.1692699 < 800; Trihalomethanes: 66.17982305 < 80; Turbidity: 3.882152119 < 5,2020-Jan,Recyclable
1116,Hardness: 213.0002175 < 300; Conductivity: 383.7478834 < 800; Trihalomethanes: 57.345645 < 80; Turbidity: 3.242545448 < 5,2020-Jan,Recyclable
3988,ph: 5.88531965 < 6.5; Hardness: 218.1647806 < 300; Chloramines: 3.117236407 < 4; Conductivity: 611.7290715 < 800; Trihalomethanes: 64.96324107 < 80; Turbidity: 2.205302306 < 5,2020-Jan,Recyclable
8799,Hardness: 131.6789781 < 300; Conductivity: 399.1739312 < 800; Trihalomethanes: 53.37896686 < 80,2020-Jan,Recyclable
8918,Hardness: 175.7004209 < 300; Conductivity: 402.1678223 < 800; Trihalomethanes: 37.54031773 < 80; Turbidity: 2.943382021 < 5,2020-Jan,Recyclable
1073,Hardness: 168.4453579 < 300; Conductivity: 437.3708632 < 800; Trihalomethanes: 64.50592258 < 80,2020-Jan,Recyclable
2400,ph: 3.800431282 < 6.5; Hardness: 111.2464116 < 300; Conductivity: 382.2243701 < 800; Trihalomethanes: 66.17982305 < 80; Turbidity: 4.473976075 < 5,2020-Jan,Recyclable
3411,Hardness: 207.880519 < 300; Conductivity: 482.3337562 < 800; Trihalomethanes: 78.10939052 < 80; Turbidity: 3.598581479 < 5,2020-Jan,Recyclable
7396,Hardness: 181.4531577 < 300; Conductivity: 289.6657588 < 800; Trihalomethanes: 55.16765111 < 80; Turbidity: 3.612430631 < 5,2020-Jan,Recyclable
4203,Hardness: 198.5616118 < 300; Conductivity: 383.3953484 < 800; Trihalomethanes: 47.92807946 < 80; Turbidity: 4.426224433 < 5,2020-Jan,Recyclable
1204,ph: 5.974583248 < 6.5; Hardness: 197.1027246 < 300; Conductivity: 410.8041321 < 800; Trihalomethanes: 59.82643938 < 80; Turbidity: 3.721974696 < 5,2020-Jan,Recyclable
2455,Hardness: 176.4136378 < 300; Conductivity: 344.4204348 < 800; Turbidity: 4.403876807 < 5,2020-Jan,Recyclable
6053,Hardness: 135.2751633 < 300; Conductivity: 531.9195668 < 800; Trihalomethanes: 20.39490805 < 80; Turbidity: 4.106006598 < 5,2020-Jan,Recyclable
2824,Hardness: 205.407825 < 300; Conductivity: 399.2835623 < 800; Trihalomethanes: 67.96334191 < 80; Turbidity: 4.031495953 < 5,2020-Jan,Recyclable
6103,Hardness: 249.8554379 < 300; Conductivity: 463.0681104 < 800; Turbidity: 4.595299419 < 5,2020-Jan,Recyclable
4314,Hardness: 154.1239972 < 300; Conductivity: 598.1422316 < 800; Trihalomethanes: 56.10510725 < 80; Turbidity: 3.309481449 < 5,2020-Feb,Recyclable
9276,Hardness: 140.3317124 < 300; Conductivity: 527.872748 < 800; Trihalomethanes: 68.4183797 < 80; Turbidity: 3.869446998 < 5,2020-Feb,Recyclable
4571,Hardness: 188.6995125 < 300; Conductivity: 520.1021269 < 800; Trihalomethanes: 66.17982305 < 80; Turbidity: 4.104686362 < 5,2020-Feb,Recyclable
7242,Hardness: 198.5422671 < 300; Conductivity: 471.9647408 < 800; Trihalomethanes: 60.07963684 < 80; Turbidity: 3.700510222 < 5,2020-Feb,Recyclable
4145,Hardness: 204.1637941 < 300; Conductivity: 424.3248999 < 800; Trihalomethanes: 55.62096831 < 80; Turbidity: 4.220269305 < 5,2020-Feb,Recyclable
759,Hardness: 215.295518 < 300; Conductivity: 443.4455903 < 800; Trihalomethanes: 46.36821941 < 80; Turbidity: 4.150359337 < 5,2020-Feb,Recyclable
7887,Hardness: 148.9736967 < 300; Conductivity: 259.9254775 < 800; Trihalomethanes: 55.79381064 < 80; Turbidity: 3.975514673 < 5,2020-Feb,Recyclable
3453,Hardness: 169.7620237 < 300; Conductivity: 389.0316941 < 800; Trihalomethanes: 71.68749087 < 80; Turbidity: 3.82206172 < 5,2020-Feb,Recyclable
404,Hardness: 158.0403984 < 300; Conductivity: 431.3047161 < 800; Trihalomethanes: 59.97292857 < 80; Turbidity: 4.388551012 < 5,2020-Feb,Recyclable
4788,Hardness: 197.0823955 < 300; Conductivity: 347.3418588 < 800; Trihalomethanes: 68.54871977 < 80; Turbidity: 3.520398319 < 5,2020-Feb,Recyclable
9313,Hardness: 180.7825047 < 300; Conductivity: 434.5440386 < 800; Turbidity: 3.279890031 < 5,2020-Feb,Recyclable
2084,Hardness: 139.9068664 < 300; Conductivity: 528.2665235 < 800; Trihalomethanes: 68.64858169 < 80; Turbidity: 3.628459629 < 5,2020-Feb,Recyclable
5466,Hardness: 183.3563736 < 300; Conductivity: 482.8247642 < 800; Turbidity: 4.841425009 < 5,2020-Feb,Recyclable
1104,Hardness: 212.2746448 < 300; Conductivity: 457.0141209 < 800; Trihalomethanes: 43.18880258 < 80; Turbidity: 3.678686031 < 5,2020-Feb,Recyclable
4782,ph: 5.652575449 < 6.5; Hardness: 107.5781435 < 300; Conductivity: 458.0820523 < 800; Trihalomethanes: 77.9051855 < 80; Turbidity: 4.079703048 < 5,2020-Feb,Recyclable
8501,Hardness: 181.2819806 < 300; Conductivity: 291.7505473 < 800; Trihalomethanes: 77.140671 < 80; Turbidity: 4.158660963 < 5,2020-Feb,Recyclable
6446,ph: 4.654452379 < 6.5; Hardness: 234.6642486 < 300; Sulfate: 187.9056361 < 250; Conductivity: 444.4539628 < 800; Turbidity: 2.753275047 < 5,2020-Feb,Recyclable
2714,Hardness: 152.9762171 < 300; Chloramines: 2.648389907 < 4; Conductivity: 460.1461742 < 800; Trihalomethanes: 69.67003777 < 80; Turbidity: 3.72482356 < 5,2020-Feb,Recyclable
5695,Hardness: 157.9778603 < 300; Conductivity: 377.9478457 < 800; Trihalomethanes: 43.51750937 < 80; Turbidity: 3.544225512 < 5,2020-Feb,Recyclable
9040,Hardness: 175.9971885 < 300; Conductivity: 402.0986421 < 800; Trihalomethanes: 37.53482922 < 80; Turbidity: 3.271498891 < 5,2020-Feb,Recyclable
3772,ph: 6.167917941 < 6.5; Hardness: 169.180481 < 300; Conductivity: 373.8329581 < 800; Trihalomethanes: 48.76135413 < 80; Turbidity: 4.705493809 < 5,2020-Feb,Recyclable
6701,Hardness: 236.8671237 < 300; Conductivity: 476.771133 < 800; Turbidity: 4.526552084 < 5,2020-Feb,Recyclable
9603,ph: 5.705318143 < 6.5; Hardness: 195.7431079 < 300; Conductivity: 337.0174496 < 800; Trihalomethanes: 44.37882674 < 80; Turbidity: 4.095044922 < 5,2020-Feb,Recyclable
2348,Hardness: 215.491606 < 300; Chloramines: 3.758833182 < 4; Conductivity: 370.274621 < 800; Trihalomethanes: 68.10002374 < 80; Turbidity: 4.582157298 < 5,2020-Feb,Recyclable
1548,Hardness: 192.5217032 < 300; Conductivity: 320.470853 < 800; Turbidity: 3.352764606 < 5,2020-Feb,Recyclable
8177,ph: -0.03756378 < 6.5; Hardness: 152.8234443 < 300; Chloramines: 3.171366758 < 4; Conductivity: 442.7564617 < 800; Trihalomethanes: 62.25554921 < 80; Turbidity: 3.509752193 < 5,2020-Feb,Recyclable
6850,Hardness: 205.6931672 < 300; Chloramines: 3.932544409 < 4; Conductivity: 407.4688081 < 800; Turbidity: 4.793529947 < 5,2020-Feb,Recyclable
7195,Hardness: 193.0111885 < 300; Conductivity: 380.0332598 < 800; Trihalomethanes: 76.00731019 < 80; Turbidity: 3.682574957 < 5,2020-Feb,Recyclable
7233,Hardness: 180.9922754 < 300; Conductivity: 480.692592 < 800; Trihalomethanes: 61.29892284 < 80; Turbidity: 4.266624599 < 5,2020-Feb,Recyclable
5126,Hardness: 240.8857112 < 300; Conductivity: 568.3735821 < 800; Trihalomethanes: 47.93501586 < 80; Turbidity: 3.684287139 < 5,2020-Feb,Recyclable
263,Hardness: 47.432 < 300; Conductivity: 500.2459518 < 800; Trihalomethanes: 66.17982305 < 80; Turbidity: 4.10692449 < 5,2020-Feb,Recyclable
6552,ph: 5.659471843 < 6.5; Hardness: 186.0555704 < 300; Sulfate: 209.7126467 < 250; Conductivity: 518.0995913 < 800; Trihalomethanes: 49.60528107 < 80; Turbidity: 3.93005638 < 5,2020-Feb,Recyclable
6260,ph: 4.685839051 < 6.5; Hardness: 222.6946926 < 300; Conductivity: 476.8838854 < 800; Trihalomethanes: 78.4089498 < 80; Turbidity: 4.807464238 < 5,2020-Feb,Recyclable
9806,Hardness: 213.9446774 < 300; Conductivity: 495.3551305 < 800; Trihalomethanes: 70.51137924 < 80; Turbidity: 3.80526661 < 5,2020-Feb,Recyclable
355,ph: 6.425873866 < 6.5; Hardness: 188.9802815 < 300; Conductivity: 502.9910878 < 800; Turbidity: 3.731936503 < 5,2020-Feb,Recyclable
3345,Hardness: 198.9363724 < 300; Conductivity: 416.1498709 < 800; Trihalomethanes: 47.96210613 < 80; Turbidity: 4.312811513 < 5,2020-Feb,Recyclable
